seed,GA,CSA,Hybrid GA+CSO
0,15.818353909465024,14.057407407407409,16.526543209876543
1,15.773209876543213,15.7280658436214,15.693209876543213
2,17.103209876543197,14.985020576131683,16.23502057613169
3,15.818353909465024,15.33197530864198,15.753786008230456
4,16.636255144032933,15.778353909465023,16.174444444444443
mean,16.229876543209876,15.176164609053496,16.076600823045272
std,0.6072686553188456,0.7035015312546513,0.3493981848863684
